client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
24d74eb38d7339140100463af8e24df959652235dc8fefe55f51fc376ad195da5dd313558f50e822977c0d5f742cdae07dedd96bb0936b5b85aaa5d4faf02f29	common_voice_ga-IE_21558428.mp3	"Bhí Tara Viscardi agus Meadhbh O'Rourke ag seinnt i ngairdín na mbláth"	2	0				ga-IE	
25814b7d1706c5e137185254962e18a6a2a12c9c0945b2e71a502cb497dcf1b751b358d2b7e3a9faf27cb5a2528c46c021f7073eeb4edcc55f0c0a935418b6fa	common_voice_ga-IE_22268525.mp3	Tá sé anseo anois	2	0				ga-IE	
743a0436667be3924874282481a820e1029dcd9e0fea6a6b78ee1354ec08fa95fbc4c7969d4d12f20c319546094751bc4ef9482e61da1be1ae42eab270b0ef76	common_voice_ga-IE_21661675.mp3	Ba ghearr go raibh an naíonán ina thoirchim suain	2	0				ga-IE	
8db0d77a5d101002b6f82e5b8b39bb5a92a338b4daa79d081beb94c05d3bf822328246288d11797c0afe284c2b2278aa2dbdfc8e3f5b605254db857e06ee6877	common_voice_ga-IE_20682386.mp3	An raibh na cailíní ag obair	2	0	twenties	female	connachta	ga-IE	
abd30813fef9d483d767b02e8149d376f8f501de07d51bbfe44419e6188b4ebd00d9f381b4574818b46fabb57da225bed044bdc54c8a10e2a1784fe564294adc	common_voice_ga-IE_21932781.mp3	Ní raibh, ach bhí uachtar agam	2	0	twenties	male		ga-IE	
aec8acf13414db81e3aef2fe8efb45e78135cf57c60f3e619b856a001918a0b6b7682b0a257101838a2730e8e31a4efb68af0dde6527429d639ec132651ad05b	common_voice_ga-IE_19507362.mp3	Go raibh maith agaibh	2	0				ga-IE	
0329e877cddf0f501d26d800f009d673417fe02407a8aaa0f39fea992859880f149e56d20bad21634efca2636ac5e60d8ff144ef1e99bd34bc2ac26cd14c958c	common_voice_ga-IE_17360822.mp3	Ar dheis lámh Dé go raibh a anam dílis	2	0				ga-IE	
0329e877cddf0f501d26d800f009d673417fe02407a8aaa0f39fea992859880f149e56d20bad21634efca2636ac5e60d8ff144ef1e99bd34bc2ac26cd14c958c	common_voice_ga-IE_17360823.mp3	Bhí na tonnta ag bualadh i gcoinne na gcarraigeacha.	2	1				ga-IE	
0a0b20f5c76d7a48b10aa972db94d9535df66efff034289aeb1377fc170ea74f6e1914599d48f567bd25c5f077557ee0603ad86f98a39e6d6ad2b7c4251f7f69	common_voice_ga-IE_17492932.mp3	Tá lá is tríocha i mí na Nollag	2	0				ga-IE	
0a0b20f5c76d7a48b10aa972db94d9535df66efff034289aeb1377fc170ea74f6e1914599d48f567bd25c5f077557ee0603ad86f98a39e6d6ad2b7c4251f7f69	common_voice_ga-IE_17492933.mp3	Agus thug sé a chúl air go mí-cheadtach agus d’imigh sé	2	0				ga-IE	
18c7b70014475b418bc46014487b31d34fa6863e557d56482a133a052db2bb8bd1a2517a910206fbbfaa6e74b108efae3829d2b33ac9e9ccba6959b63c651021	common_voice_ga-IE_18263190.mp3	"D'iompraigh siad an tolg isteach ar an doras."	2	1				ga-IE	
